start_hour,jobs
0,620
1,905
2,9054
3,6566
4,4842
5,1233
6,4269
7,6665
8,3017
9,3307
10,2743
11,4801
12,3171
13,560
14,431
15,2522
16,3645
17,3137
18,4987
19,4258
20,3767
21,3623
22,1400
23,1467
24,5188
25,9038
26,5978
27,7373
28,3900
29,4589
30,6833
31,6228
32,3005
33,1271
34,2398
35,6702
36,8237
37,6867
38,9119
39,15060
40,12976
41,14179
42,12903
43,11800
44,7356
45,10806
46,12282
47,11737
48,6597
49,9591
50,4200
51,5027
52,4473
53,5391
54,5314
55,3750
56,6300
57,9140
58,9553
59,8496
60,9122
61,14667
62,10743
63,12855
64,17329
65,11647
66,29199
67,17043
68,14492
69,14090
70,10574
71,36704
72,30834
73,12338
74,8209
75,8853
76,5826
77,10978
78,4166
79,2462
80,5341
81,5989
82,4136
83,5007
84,4968
85,5949
86,10295
87,9308
88,10792
89,22737
90,23184
91,24743
92,12504
93,22032
94,20892
95,18239
96,7528
97,6181
98,2442
99,930
100,3615
101,5129
102,4005
103,6126
104,3135
105,3832
106,2293
107,1231
108,2755
109,3271
110,6001
111,5875
112,4026
113,2574
114,1604
115,2048
116,1521
117,2241
118,6895
119,6331
120,2183
121,5587
122,3627
123,5335
124,4341
125,4148
126,3277
127,388
128,514
129,3105
130,2621
131,2176
132,1636
133,1878
134,2669
135,2859
136,3966
137,1308
138,2304
139,2071
140,1749
141,2471
142,1172
143,2008
144,1838
145,1651
146,592
147,1023
148,520
149,2135
150,1328
151,1445
152,327
153,341
154,826
155,2862
156,1593
157,3304
158,3965
159,1722
160,1854
161,790
162,2560
163,3580
164,3928
165,1522
166,3452
167,3535
168,3276
169,1174
170,4157
171,5101
172,3283
173,1574
174,1344
175,2004
176,2171
177,455
178,1850
179,3530
180,3868
181,4780
182,6208
183,5638
184,2632
185,3087
186,2447
187,1314
188,2890
189,2917
190,8513
191,4632
192,5481
193,1434
194,578
195,2026
196,1782
197,2166
198,1605
199,957
200,5454
201,2369
202,3484
203,6371
204,3333
205,3221
206,4482
207,28099
208,12956
209,7978
210,27514
211,43920
212,17978
213,7758
214,7859
215,9598
216,22059
217,7985
218,8441
219,6450
220,2592
221,1936
222,1501
223,1785
224,4226
225,1127
226,622
227,1201
228,2280
229,5518
230,6047
231,3038
232,2238
233,4200
234,4517
235,3238
236,7348
237,9351
238,6538
239,18752
240,17694
241,8707
242,3698
243,5806
244,4462
245,10932
246,1165
247,1326
248,966
249,671
250,1918
251,1760
252,690
253,4377
254,19271
255,7898
256,8275
257,7682
258,8686
259,8484
260,8167
261,6105
262,8854
263,6048
264,2683
265,2262
266,1459
267,3716
268,3195
269,2884
270,5331
271,4790
272,2580
273,2237
274,3980
275,3354
276,4742
277,7817
278,12046
279,15328
280,15158
281,14272
282,6851
283,7123
284,5467
285,3597
286,802
287,1484
288,723
289,1069
290,759
291,1095
292,4566
293,6241
294,5006
295,3456
296,4551
297,5809
298,5075
299,3604
300,5351
301,2355
302,6737
303,6916
304,6184
305,2555
306,3412
307,2231
308,3622
309,5353
310,46053
311,2633
312,4657
313,4888
314,4378
315,2051
316,2110
317,2738
318,2472
319,2435
320,6953
321,8005
322,2365
323,2991
324,5444
325,5065
326,4086
327,3109
328,3138
329,4393
330,2683
331,4808
332,2498
333,3845
334,5039
335,3837
336,7467
337,6363
338,4677
339,3154
340,2368
341,2327
342,2562
343,2572
344,2234
345,1809
346,1648
347,1888
348,2440
349,3175
350,4078
351,5164
352,6288
353,7110
354,7337
355,7022
356,6606
357,6574
358,7012
359,7467
360,7290
361,6185
362,4500
363,2976
364,2190
365,2150
366,2384
367,2395
368,2056
369,1632
370,1470
371,1711
372,2262
373,2997
374,3900
375,4987
376,6110
377,6933
378,7159
379,6845
380,6428
381,6396
382,6834
383,7290
384,7112
385,6008
386,4322
387,2799
388,2013
389,1973
390,2207
391,2218
392,1879
393,1454
394,1293
395,1534
396,2085
397,2820
398,3723
399,4809
400,5933
401,6755
402,6982
403,6667
404,6251
405,6219
406,6657
407,7113
408,6935
409,5830
410,4145
411,2622
412,1835
413,1795
414,2029
415,2040
416,1701
417,1277
418,1115
419,1356
420,1907
421,2642
422,3546
423,4632
424,5756
425,6578
426,6804
427,6490
428,6073
429,6041
430,6480
431,6935
432,6758
433,5653
434,3968
435,2444
436,1658
437,1618
438,1852
439,1863
440,1524
441,1099
442,938
443,1179
444,1730
445,2465
446,3368
447,4455
448,5578
449,6400
450,6627
451,6312
452,5896
453,5864
454,6302
455,6758
456,6580
457,5476
458,3790
459,2267
460,1481
461,1440
462,1675
463,1685
464,1347
465,922
466,761
467,1001
468,1553
469,2287
470,3191
471,4277
472,5401
473,6223
474,6450
475,6135
476,5718
477,5687
478,6125
479,6580
480,6403
481,5298
482,3613
483,2089
484,1303
485,1263
486,1497
487,1508
488,1169
489,745
490,583
491,824
492,1375
493,2110
494,3013
495,4100
496,5223
497,6046
498,6272
499,5958
500,5541
501,5509
502,5947
503,6403
504,6225
505,5121
506,3435
507,1912
508,1126
509,1086
510,1320
511,1331
512,992
513,567
514,406
515,647
516,1198
517,1933
518,2836
519,3922
520,5046
521,5868
522,6095
523,5780
524,5364
525,5332
526,5770
527,6226
528,6048
529,4943
530,3258
531,1735
532,948
533,908
534,1142
535,1153
536,814
537,390
538,228
539,469
540,1020
541,1755
542,2659
543,3745
544,4869
545,5691
546,5917
547,5603
548,5186
549,5154
550,5593
551,6048
552,5871
553,4766
554,3081
555,1557
556,771
557,731
558,965
559,976
560,637
561,212
562,51
563,292
564,843
565,1578
566,2481
567,3568
568,4691
569,5513
570,5740
571,5425
572,5009
573,4977
574,5415
575,5871
576,5693
577,4589
578,2903
579,1380
580,594
581,553
582,787
583,798
584,459
585,35
586,126
587,114
588,666
589,1400
590,2304
591,3390
592,4514
593,5336
594,5563
595,5248
596,4831
597,4799
598,5238
599,5693
600,5516
601,4411
602,2726
603,1202
604,416
605,376
606,610
607,621
608,282
609,141
610,303
611,62
612,488
613,1223
614,2126
615,3213
616,4336
617,5158
618,5385
619,5070
620,4654
621,4622
622,5060
623,5516
624,5338
625,4234
626,2548
627,1025
628,239
629,198
630,433
631,443
632,105
633,319
634,480
635,239
636,311
637,1046
638,1949
639,3035
640,4159
641,4981
642,5208
643,4893
644,4477
645,4445
646,4883
647,5339
648,5161
649,4056
650,2371
651,847
652,61
653,21
654,255
655,266
656,72
657,496
658,658
659,417
660,133
661,868
662,1771
663,2858
664,3982
665,4804
666,5030
667,4716
668,4299
669,4267
670,4706
671,5161
