gb,cal,fr,ger
184.09593162975762,320.3306422367374,52.12106334750043,305.32801311436504
179.74886285231904,318.8341234438662,51.64868793676604,303.6214206819849
178.25572218294684,316.69407923239487,51.057759698468466,301.56191119635025
178.22308201443568,316.189992840164,50.791734506147144,300.8166868458085
178.20091292293253,315.41181508131257,50.48850856999823,300.26170523484234
178.16229069199437,314.7993349013098,50.179459468373175,299.3516286455022
178.14163746558438,314.29817712554114,49.84727412203101,298.7561147260694
177.95097555336383,311.03265808989386,49.71839012643749,297.37639540292525
177.42521732933446,290.6542758490898,49.56930477800017,293.75633402746195
175.43403090150832,256.419134719703,49.29523882180207,285.1975681586639
171.5800188056156,224.27367449967954,49.00275299684344,273.1919428565376
169.00400251804055,208.88991678335987,48.74140377421696,262.62642457358004
167.80381814162212,200.78523134239416,48.58340500730401,255.06060715904417
167.12742124496882,195.62827784121882,48.48264485525479,250.8815776813426
165.7828995491365,192.0268830663814,48.45396054359184,249.1754392202106
165.27092183813812,189.6440284397761,48.43655673823105,248.7994715304634
164.94226881558083,188.86063715293008,48.37359985321224,248.61418567341426
